id,name
afghani,Afghan
african,African
newamerican,American (New)
tradamerican,American (Traditional)
arabian,Arabian
brazilian,Brazilian
Cajun/cajun,Creole
caribbean,Caribbean
haitian,Haitian
chinese,Chinese
cantonese,Cantonese
szechuan,Szechuan
cuban,Cuban
eastern_european,Eastern European
ethiopian,Ethiopian
filipino,Filipino
french,French
georgian,Georgian
german,German
halal,Halal
indpak,Indian
italian,Italian
japanese,Japanese
korean,Korean
latin,Latin American
colombian,Colombian
mediterranean,Mediterranean
mexican,Mexican
mideastern,Middle Eastern
egyptian,Egyptian
pakistani,Pakistani
Persian/persian,Iranian
polish,Polish
russian,Russian
seafood,Seafood
spanish,Spanish
Tex-tex-mex,Mex
thai,Thai
turkish,Turkish
vietnamese,Vietnamese